524922729485848576	1	1	1
524922729485848576	2	1	-1
524922729485848576	3	1	-1
524922729485848576	4	1	1
524922729485848576	5	1	-1
524922729485848576	6	1	1
524922729485848576	7	6	-1
524922729485848576	8	1	-1
524922729485848576	9	8	1
524922729485848576	10	1	-1
524922729485848576	11	10	1
524922729485848576	12	10	1
524922729485848576	13	12	-1
524922729485848576	14	12	-1
524922729485848576	15	7	-1
524922729485848576	16	1	-1
524922729485848576	17	16	-1
524922729485848576	18	17	1
524922729485848576	19	18	-1
524922729485848576	20	19	-1
524922729485848576	21	7	-1
524922729485848576	22	14	1
524922729485848576	23	13	1
524922729485848576	24	23	1
524922729485848576	25	24	1
524922729485848576	26	25	1
524922729485848576	27	26	-1
524922729485848576	28	27	-1
524922729485848576	29	27	-1
524922729485848576	30	28	1
524922729485848576	31	30	-1
524922729485848576	32	10	-1
524922729485848576	33	32	1
524922729485848576	34	33	1
524922729485848576	35	34	1
524922729485848576	36	32	1
524922729485848576	37	35	-1
